step,games_played,buffer_size,loss,temperature,epsilon
5000,2560,399360,0.0603229,0.606515,0
10000,5120,798720,0.0713907,0.367861,0
15000,7680,1198080,0.0735829,0.223113,0
20000,10240,1597440,0.0878344,0.135322,0
25000,12800,1996800,0.104071,0.1,0
30000,15360,2000000,0.08562,0.1,0
35000,17920,2000000,0.0945353,0.1,0
40000,20480,2000000,0.116488,0.1,0
45000,23040,2000000,0.0949437,0.1,0
50000,25600,2000000,0.100526,0.1,0
55000,28160,2000000,0.082565,0.1,0
60000,30720,2000000,0.0979784,0.1,0
65000,33280,2000000,0.079662,0.1,0
70000,35840,2000000,0.0965231,0.1,0
75000,38400,2000000,0.0836189,0.1,0
80000,40960,2000000,0.0998464,0.1,0
85000,43520,2000000,0.0914316,0.1,0
90000,46080,2000000,0.107261,0.1,0
95000,48640,2000000,0.0873491,0.1,0
100000,51200,2000000,0.103978,0.1,0
